,battery_power,clock_speed,dual_sim,four_g,px_height,px_width,ram,talk_time,three_g,touch_screen,wifi,price_range,bluetooth,front_camera,memory,mobile_depth,mobile_weight,number_of_cores,camera_pixels,screen_height,screen_width
0,842,2.2,0,0.0,20,756,2549,19.0,0,0.0,1,0.0,0,1.0,7.0,0.6,188,2,2.0,9,_
1,1021,0.5,1,1.0,905,1988,2631,7.0,1,1.0,0,1.0,1,0.0,53.0,0.7,136,3,6.0,17,3.0
2,563,0.5,1,1.0,1263,1716,2603,9.0,1,1.0,0,1.0,1,2.0,41.0,0.9,145,5,6.0,11,2.0
3,615,2.5,0,0.0,1216,1786,2769,11.0,1,0.0,0,1.0,1,0.0,10.0,0.8,131,6,9.0,16,8.0
4,1821,1.2,0,,1208,1212,1411,15.0,1,1.0,0,0.0,1,13.0,44.0,@,141,2,14.0,8,2.0
5,1859,0.5,1,0.0,1004,1654,1067,10.0,1,0.0,0,0.0,0,3.0,22.0,0.7,164,1,7.0,17,1.0
6,1821,1.7,0,1.0,381,1018,3220,18.0,1,0.0,1,1.0,0,4.0,10.0,0.8,139,8,10.0,13,
7,1954,0.5,1,0.0,512,1149,700,5.0,1,1.0,1,0.0,0,0.0,_,0.8,187,4,0.0,16,3.0
8,1445,0.5,0,0.0,386,836,1099,20.0,1,0.0,0,0.0,1,0.0,53.0,0.7,174,7,14.0,17,1.0
9,509,0.6,1,1.0,1137,1224,513,12.0,1,0.0,0,0.0,1,2.0,9.0,0.1,93,5,15.0,19,10.0
10,769,2.9,1,0.0,248,874,3946,7.0,0,0.0,0,1.0,1,0.0,9.0,0.1,182,5,1.0,5,2.0
11,1520,2.2,0,1.0,151,1005,3826,13.0,1,1.0,1,1.0,1,5.0,33.0,0.5,177,8,,14,9.0
12,1815,2.8,0,0.0,607,748,1482,2.0,1,0.0,0,0.0,0,2.0,33.0,0.6,159,4,17.0,18,0.0
13,803,2.1,0,0.0,344,1440,2680,4.0,1,0.0,1,1.0,1,7.0,17.0,1.0,198,4,11.0,7,1.0
14,1866,0.5,0,1.0,356,563,373,3.0,1,0.0,1,0.0,0,13.0,52.0,0.7,185,1,17.0,14,9.0
15,775,1.0,0,0.0,862,1864,568,,1,1.0,1,0.0,0,3.0,46.0,0.7,159,2,16.0,17,15.0
16,838,0.5,0,1.0,984,1850,3554,19.0,1,0.0,1,,0,1.0,13.0,0.1,196,8,4.0,10,9.0
17,595,0.9,1,@,441,810,3752,18.0,1,1.0,0,,0,7.0,23.0,0.1,121,3,17.0,10,2.0
18,1131,0.5,1,0.0,658,878,1835,16.0,1,1.0,0,0.0,1,11.0,49.0,0.6,101,5,18.0,19,13.0
19,682,0.5,0,0.0,902,1064,2337,18.0,0,1.0,1,0.0,1,4.0,19.0,1.0,121,4,11.0,11,1.0
20,772,1.1,1,0.0,1314,1854,2819,3.0,1,1.0,0,1.0,0,12.0,39.0,0.8,81,7,14.0,17,15.0
21,1709,2.1,0,0.0,974,1385,3283,15.0,1,0.0,0,1.0,1,1.0,13.0,1.0,156,2,2.0,17,1.0
22,1949,_,1,0.0,407,822,1433,20.0,0,0.0,1,0.0,0,4.0,47.0,0.3,199,4,7.0,11,5.0
23,1602,2.8,1,1.0,466,788,1037,20.0,1,0.0,0,0.0,1,4.0,38.0,0.7,114,3,20.0,8,N/A
24,503,1.2,1,??,201,1245,2583,12.0,1,0.0,0,0.0,0,5.0,8.0,0.4,111,3,13.0,11,0.0
25,961,1.4,1,N/A,291,1434,2782,7.0,1,1.0,1,1.0,1,0.0,57.0,0.6,114,8,3.0,18,9.0
26,519,1.6,1,1.0,550,645,3763,,1,0.0,1,1.0,1,7.0,51.0,0.3,132,4,19.0,16,1.0
27,956,0.5,0,,511,1075,3286,12.0,1,1.0,0,1.0,0,1.0,41.0,1.0,143,7,6.0,17,8.0
28,1453,1.6,1,1.0,187,1311,2373,10.0,1,1.0,1,1.0,0,12.0,52.0,0.3,96,2,18.0,10,1.0
29,851,0.5,0,,1171,1263,478,10.0,1,0.0,1,0.0,0,3.0,21.0,0.4,200,5,7.0,12,7.0
30,1579,0.5,1,0.0,1358,1739,3532,12.0,0,0.0,1,1.0,1,0.0,5.0,0.2,88,7,9.0,17,11.0
31,1568,0.5,0,0.0,413,654,508,6.0,1,1.0,1,0.0,1,??,33.0,??,150,8,20.0,5,N/A
32,1319,0.9,0,1.0,85,1152,2227,3.0,1,1.0,1,0.0,1,3.0,41.0,0.9,107,1,18.0,18,5.0
33,1310,2.2,1,1.0,178,1919,3845,12.0,1,1.0,0,1.0,1,0.0,51.0,0.6,100,4,0.0,7,0.0
34,644,2.7,0,0.0,311,881,1262,15.0,1,,0,0.0,1,0.0,22.0,0.7,157,8,3.0,12,1.0
35,725,1.3,1,0.0,1134,1249,1326,15.0,1,0.0,0,0.0,0,16.0,60.0,0.4,160,8,17.0,10,4.0
